slide_number,detected_title,source_media_name_in_pptx,exported_filename
2,1985,image4.png,1985__slide2_1.png
2,1985,image1.png,1985__slide2_2.png
2,1985,image3.png,1985__slide2_3.png
2,1985,image2.png,1985__slide2_4.png
3,Global Network,image9.jpeg,Global Network__slide3_1.jpeg
3,Global Network,image6.png,Global Network__slide3_2.png
3,Global Network,image5.png,Global Network__slide3_3.png
3,Global Network,image8.png,Global Network__slide3_4.png
3,Global Network,image11.jpeg,Global Network__slide3_5.jpeg
3,Global Network,image7.png,Global Network__slide3_6.png
3,Global Network,image10.jpeg,Global Network__slide3_7.jpeg
4,1. Annual Review,image3.png,1. Annual Review__slide4_1.png
4,1. Annual Review,image12.jpeg,1. Annual Review__slide4_2.jpeg
4,1. Annual Review,image13.png,1. Annual Review__slide4_3.png
5,2. S taff,image17.png,2. S taff__slide5_1.png
5,2. S taff,image14.png,2. S taff__slide5_2.png
5,2. S taff,image16.png,2. S taff__slide5_3.png
5,2. S taff,image15.png,2. S taff__slide5_4.png
6,Business competition,image19.png,Business competition__slide6_1.png
6,Business competition,image18.png,Business competition__slide6_2.png
6,Business competition,image21.png,Business competition__slide6_3.png
6,Business competition,image20.png,Business competition__slide6_4.png
10,SENA SAKURAMOTO,image12.jpeg,SENA SAKURAMOTO__slide10_1.jpeg
10,SENA SAKURAMOTO,image3.png,SENA SAKURAMOTO__slide10_2.png
11,Company profile,image3.png,Company profile__slide11_1.png
11,Company profile,image23.jpg,Company profile__slide11_2.jpg
11,Company profile,image22.png,Company profile__slide11_3.png
12,コアサービス領域,image25.jpeg,コアサービス領域__slide12_1.jpeg
12,コアサービス領域,image29.png,コアサービス領域__slide12_2.png
12,コアサービス領域,image24.png,コアサービス領域__slide12_3.png
12,コアサービス領域,image28.jpeg,コアサービス領域__slide12_4.jpeg
12,コアサービス領域,image3.png,コアサービス領域__slide12_5.png
12,コアサービス領域,image27.png,コアサービス領域__slide12_6.png
12,コアサービス領域,image26.jpeg,コアサービス領域__slide12_7.jpeg
12,コアサービス領域,image30.png,コアサービス領域__slide12_8.png
13,Global Network,image34.jpeg,Global Network__slide13_1.jpeg
13,Global Network,image10.jpeg,Global Network__slide13_2.jpeg
13,Global Network,image32.jpeg,Global Network__slide13_3.jpeg
13,Global Network,image9.jpeg,Global Network__slide13_4.jpeg
13,Global Network,image31.gif,Global Network__slide13_5.gif
13,Global Network,image7.png,Global Network__slide13_6.png
13,Global Network,image33.png,Global Network__slide13_7.png
13,Global Network,image8.png,Global Network__slide13_8.png
13,Global Network,image3.png,Global Network__slide13_9.png
13,Global Network,image35.png,Global Network__slide13_10.png
13,Global Network,image11.jpeg,Global Network__slide13_11.jpeg
14,1985,image36.png,1985__slide14_1.png
14,1985,image3.png,1985__slide14_2.png
15,2024,image42.png,2024__slide15_1.png
15,2024,image47.png,2024__slide15_2.png
15,2024,image50.jpg,2024__slide15_3.jpg
15,2024,image57.png,2024__slide15_4.png
15,2024,image38.png,2024__slide15_5.png
15,2024,image53.jpeg,2024__slide15_6.jpeg
15,2024,image41.png,2024__slide15_7.png
15,2024,image46.jpeg,2024__slide15_8.jpeg
15,2024,image37.png,2024__slide15_9.png
15,2024,image49.png,2024__slide15_10.png
15,2024,image52.png,2024__slide15_11.png
15,2024,image59.jpeg,2024__slide15_12.jpeg
