chunk_zip,image_name,original_bytes,original_compressed_bytes
apdw_p01_all.zip,p01_img01_xref3707.png,5923,5533
apdw_p01_all.zip,p01_img02_xref3710.png,8430,6149
apdw_p01_all.zip,p01_img03_xref3715.png,3457,3198
apdw_p01_all.zip,p01_img04_xref3718.png,3386,3294
apdw_p01_all.zip,p01_img05_xref3721.png,3784,3522
apdw_p02_all.zip,p02_img01_xref3609.png,179076,178492
apdw_p02_all.zip,p02_img02_xref3610.png,133043,133088
apdw_p02_all.zip,p02_img03_xref3611.png,109155,109166
apdw_p02_all.zip,p02_img04_xref3612.png,117513,117553
apdw_p03_part1.zip,p03_img01_xref3625.png,180820,180880
apdw_p03_part1.zip,p03_img02_xref3626.png,715633,715668
apdw_p03_part1.zip,p03_img03_xref3627.png,1615,1620
apdw_p03_part1.zip,p03_img04_xref3628.png,4597066,4598389
apdw_p03_part1.zip,p03_img05_xref3629.png,21248,21258
apdw_p03_part1.zip,p03_img06_xref3630.png,60608,60628
apdw_p03_part1.zip,p03_img07_xref3631.png,112816,112851
apdw_p03_part1.zip,p03_img08_xref3632.png,15585,15590
apdw_p03_part1.zip,p03_img09_xref3633.png,2164812,2165472
apdw_p03_part2.zip,p03_img10_xref3634.png,2124029,2124679
apdw_p05_part1.zip,p05_img01_xref3647.png,8463026,8465601
apdw_p05_part2.zip,p05_img02_xref3648.png,7516914,7519199
apdw_p05_part3.zip,p05_img03_xref3649.png,2886477,2883754
apdw_p05_part3.zip,p05_img04_xref3650.png,3997743,3998761
apdw_p06_part1.zip,p06_img01_xref46.png,800992,801171
apdw_p06_part1.zip,p06_img02_xref47.png,551524,551694
apdw_p06_part1.zip,p06_img03_xref48.png,2397688,2398418
apdw_p06_part2.zip,p06_img04_xref49.png,4848691,4848425
apdw_p06_part2.zip,p06_img05_xref50.png,3207167,3204147
apdw_p06_part3.zip,p06_img06_xref51.png,1274717,1274882
apdw_p06_part3.zip,p06_img07_xref52.png,1602321,1602321
apdw_p07_part1.zip,p07_img01_xref91.png,95736,95766
apdw_p07_part1.zip,p07_img02_xref92.png,2292519,2293211
apdw_p07_part2.zip,p07_img03_xref93.png,7278230,7280445
apdw_p07_part2.zip,p07_img04_xref94.png,152642,138750
apdw_p08_all.zip,p08_img01_xref159.png,16252,15788
apdw_p08_all.zip,p08_img02_xref160.png,31185,30633
apdw_p08_all.zip,p08_img03_xref3082.png,4784,4270
apdw_p08_all.zip,p08_img04_xref3087.png,1625,1135
apdw_p08_all.zip,p08_img05_xref3090.png,1653,1177
apdw_p08_all.zip,p08_img07_xref3096.png,1649,1177
apdw_p08_all.zip,p08_img13_xref3114.png,5476,3562
apdw_p08_all.zip,p08_img14_xref3117.png,1621,1135
apdw_p08_all.zip,p08_img15_xref3120.png,4723,4102
apdw_p08_all.zip,p08_img16_xref3125.png,4678,4027
apdw_p08_all.zip,p08_img17_xref3130.png,4723,4105
apdw_p08_all.zip,p08_img18_xref3135.png,4678,4031
apdw_p08_all.zip,p08_img19_xref3140.png,4925,4196
apdw_p08_all.zip,p08_img20_xref3145.png,3325,2983
